"id","num_deposit","total_deposit","num_borrow","total_borrow","num_repay","total_repay","num_withdraw","total_withdraw","num_liquidated","total_liquidated","num_liquidating","total_liquidating","num_contracts","num_projects","num_tweets","avg_likes","avg_retweets","num_hashtags"
"0x1_0xdcc3b9ae8d6fc5e3bd3fd374035cb679aa1c09fd","0","0.0","0","0.0","0","0.0","0","0.0","2","0","0","0.0","0","0","0","0.0","0.0","0"
"0x1_0x0a910734751eef41296aeb5d636240c902ea8171","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","10","0","0","0","0","0.0","0.0","0"
"0x1_0x6bee9faf046a21d6bd66bdda7c4d387aff93c09c","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0","0.0","0.0","0"
"0x1_0xa9ee140bfe20a7a5f9e170c6e89ec4b0906d297d","2","0.02","0","0.0","0","0.0","14","0.02000019905550976","0","0.0","0","0.0","1","1","1280","29.412499999999987","23.662499999999977","0"
"0x1_0x546b4b4b196f4d1bf50034a5a2f350572ed71ba7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0","0.0","0.0","0"
"0x1_0x33cfb2c355cb891ffe31e7ab3f1c2c17863b133a","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0","0.0","0.0","0"
"0x1_0x28dc6af241ca26673073bcf76c7d3e43b55344cf","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0","0.0","0.0","0"
"0x1_0x5204427c0e8737e0b2fd84c555da691cf9a9d294","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0","0.0","0.0","0"
"0x1_0x3b1eefc37c3a24b7ab40e6091a2a6aa1aa5e844b","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0","0.0","0.0","0"
"0x1_0x5572701d28313f7759a55cf688af3294130d92d1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0","0.0","0.0","0"
"0x1_0x290b0060d322342c16f28240d2fb03329f8351c1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0","0.0","0.0","0"
"0x1_0x4ac70274148a29d193795ab87aa336db3ee99ce4","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0","0.0","0.0","0"
"0x1_0x496bb5cb018d90796dd9e263f8f18225030c98d5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0","0.0","0.0","0"
"0x1_0x39b02206708a39bb20d4fcc5b1a465a08c665c41","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0","0.0","0.0","0"
"0x1_0x31e44ed6661e36298e4232a2e2ba84665fe76200","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0","0.0","0.0","0"
"0x1_0x2b3b7b3471ceb5d3aae0f13c07dfeb34adc5ecbc","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0","0.0","0.0","0"
"0x1_0x4bc4fb05789a7267a287226ad5566ca992228d58","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0","0.0","0.0","0"
"0x1_0x4d695abe43cae9c13fcc0192244cddd407949759","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0","0.0","0.0","0"
